premise,hypothesis,label
خط و زبان آرامی در دولت هخامنشی تبدیل به زبان دیوانی شد و دبیران آرامی‌نژاد و آرامی‌زبان در دستگاه‌های دیوانی ایالت‌های مختلف سرزمین هخامنشی به خدمت مشغول شدند و زبان و خط آرامی با عنوان «آرامی رسمی» یا «آرامی امپراطوری» پا به پای زبان فارسی باستان و خط میخی که تنها در کتیبه‌های هخامنشی به کار می‌رفت، در ارسال مراسلات به کار گرفته شد.,خط آرامی در زمان حکومت هخامنشی، زبان دیوانی کشور شد.,e
در زمان خلفا و پس از آن در زمان بنی امیه، قرآن را بخط کوفی می‌نوشتند و مشهورترین قرآن‌نویس بنی امیه، مردی بود به نام قطبه که بسیار خوش‌خط بود. او خط کوفی را با چهار قلم می‌نگاشت.,معروف ترین کسی که در زمان بنی امیه قرآن را مکتوب می کرد، قطبه نام داشت.,e
خط سریانی و نبطی بعد از فتوحات اسلام نیز میان اعراب باقی ماند. خط کوفی در کوفه و حیره سریانی و خط نسخ از خط نبطی اقتباس شده‌اند.,مبدا پیدایش خط نسخ، خط نبطی است.,e
برای نوشتن خطوط میخی نیاز به لوحه‌های گلی نرمی بود که با قلم چوبی برآن می‌نگاشتند و سپس لوحه را می‌پختند.,خط میخی روی لوح گلی نوشته می شد.,e
اکثر صاحبنظران خط و زبان‌های باستانی بر این باورند که منشأ پیدایش خط میخی از بین‌النهرین و سرزمین سومر بوده‌است و کهن‌ترین اقوامی که در بین‌النهرین خط میخی را بکار برده‌اند، سومریان هستند.,مبدا پیدایش خط میخی سرزمین سومر می باشد.,e
الفبای فنیقی به نوعی شبه قاره هند را نیز درنوردید. دانشمندان، خط برهمایی هند را از فرزندان همین خط می‌دانند که زبان سنسکریت و دیگر زبان‌های هندی با آن نوشته می‌شود.,مبدا خط برهمایی خط فنیقی است.,e
کشور سوئیس دارای مجلس فدرال (پارلمان) دومجلسی است که از شورای ملی و شورای دولت‌ها تشکیل شده است.,مجلس فدرال سوئیس از دو مجلس شورای ملی و شورای دولت ها تشکیل شده است.,e
از طریق قوم آرامی، الفبای فنیقی در مصر و عرب و میان‌رودان تا هند بسط یافت و همچنین به غرب (اروپای امروز) که هنوز دارای خط و کتابت نبود راه یافت. این کار از طریق یونان انجام گرفت که با فنیقی‌ها ارتباط بازرگانی داشتند. الفبای یونانی و رومی از الفبای فنیقی پدید آمده‌است و از آنجا که الفبای سایر کشورهای اروپایی مشتق از این دو الفباء می‌باشد، می‌توان گفت که مبدأ خطوط ملل اروپایی، فنیقی است.,منشا الفبای یونانی الفبای فنیقی است.,e
می‌توان گفت که فنیقی‌ها نخستین کسانی بودند که افتخار کشف الفبای حقیقی را دارند. با پیدایش خط فنیقی سایر خطوط جز خط چینی، از قلمرو نویسندگی خارج شدند. این خط در آسیای غربی نفوذ یافت و جایگزین خط میخی شد.,خط فنیقی، جایگزین خط میخی شد.,e
طبق ماده ۲۸ قانون انتخابات مجلس شورای اسلامی، داوطلبان هنگام ثبت نام باید در محدوده سنی ۳۰ سال تمام تا ۷۵ سال تمام قرار داشته باشند.,داوطلبان نمایندگی مجلس می بایست حداقل ۳۰ و حداکثر ۷۵ سال داشته باشند.,e
امروز متوجه می‌شویم که اقدام دانشجویان پیرو خط امام در تسخیر سفارت آمریکا صحیح بود و تسخیر لانه جاسوسی در ۱۳ آبان، ابهت آمریکا را در جهان شکست.,تسخیر سفارت آمریکا ابهت آمریکا را شکست.,e
از نظر الکسی دوتوکویل اغلب انقلاب‌ها ناشی از بهبود شرایط اقتصادی، سیاسی پس از دوران طولانی از فشار و سرکوب هستند.,به نظر الکسی دوتوکویل انقلاب‌ها در بهبود شرایط به وقوع می‌پیوندند.,e
اصل یکصد و سی و چهارم: ریاست هیئت وزیران با رئیس جمهور است که بر کار وزیران نظارت دارد.,رییس جمهور بر کار وزیران طبق اصل ۱۳۴ قانون اساسی نظارت دارد.,e
طبق اصل ۹۹ قانون اساسی، شورای نگهبان نظارت بر انتخابات مجلس خبرگان رهبری، ریاست جمهوری و مجلس شورای اسلامی را بر عهده دارد. نظارت مذکور در اصل ۹۹ قانون اساسی، استصوابی است.,نظارت شورای نگهبان بر انتخابات ریاست جمهوری، استصوابی است.,e
اصل ۲ قانون اساسی ژاپن: نظام سیاسی و تاج و تخت امپراتوری موروثی خواهد بود و جانشینی طبق قانون دربار امپراتوری مصوب مجلسین انجام خواهد شد.,نظام سیاسی ژاپن، موروثی می باشد.,e
بر اساس اصل ۱۲ قانون اساسی فرانسه، رئیس جمهور می‌تواند پس از مشورت با نخست‌وزیر و رؤسای مجلسین، مجلس شورای ملی را منحل نماید.,رییس جمهور فرانسه می تواند مجلس شورای ملی را منحل کند.,e
"در انتخابات ریاست جمهوری فرانسه، برای جلوگیری از تعدد کاندیدها یا حضور کاندیدهای غیر متعارف، قانون ""پدر خواندگی"" در نظر گرفته شده است. طبق این قانون، هر کاندید نیازمند تایید حداقل ۵۰۰ نماینده مجلس فرانسه است.",در کشور فرانسه ابتدا باید تعدادی از نمایندگان مجلس، نامزدی رییس جمهوری را تایید کنند.,e
ماده ۳ اعلامیه حقوق بشر: هر فردی سزاوار و محق به زندگی، آزادی و امنیت فردی است.,طبق ماده سوم اعلامیه حقوق بشر، هر کس حق زندگی، آزادی و امنیت شخصی دارد.,e
معمولاً در بیشتر کشورها نظیر جمهوری اسلامی ایران، قانون اساسی دارای متن واحد است.,قانون اساسی ایران دارای متن واحد می باشد.,e
خط عبری نیز که سابقه زبانی آن به سده چهارم پیش از میلاد می‌رسد از اصل آرامی نشات گرفته‌است. عموم یهودیان جهان خط عبری را برای نگارش آثار خود به کار می‌گیرند.,خط عبری بیشتر مربوط به مردم دین یهود است.,e
خط اوستایی، برمبنای خط پهلوی ساسانی اختراع شده‌است. این خط آوانگار بوده و با ۵۳ یا ۵۸ علامت واکه و همخوان از قابلیت نگارش بسیار بالایی برخوردار است. در حالیکه خط پهلوی اشکانی برای نوشتن زبان پهلوی اشکانی، بر مبنای خط آرامی پایه‌ریزی شد و سپس خط پهلوی ساسانی در همین راستا به وجود آمد که هرکدام گونه‌های کتیبه‌ای و تحریری دارند. این خطوط صامت نگار هستند و حتی تعداد علامت‌ها نسبت به الفبای آرامی نیز کمتر است.,از تفاوت های خط اوستایی و خط پهلوی این است که خط اوستایی آوانگار و خط پهلوی صامت نگار است.,e
پس از دوران هخامنشی، در دوره کوتاه مدت اسکندر و سلوکیها، زبان و خط یونانی در مراسلات رسمی و اداری به کار می رفت.,در زمان حکومت اسکندر خط یونانی استفاده می شد.,e
خط اوستایی، برای نگارش کتاب دینی زرتشتیان به کار رفته است. این خط آوانگار بوده و از قابلیت نگارش بسیار بالایی برخوردار است. از راست به چپ نوشته می‌شود و به نام‌های دین دبیره، دین دبیریه، دین دفیره و … هم نامیده می‌شود.,جهت نوشتاری خط اوستایی از راست به چپ است.,e
بشر توانست با تصویر اشیایی شبیه به اندیشه‌ها، به نمایش اندیشه نیز اقدام کند،این طریق نمایش اندیشه، در تاریخ خطوط، خط اندیشه نگار نام دارد. در دنیای قدیم و خط باستان، ما به چهار نوع خط اندیشه نگار برمی‌خوریم به شرح زیر: خط چینی، خط میخی، خط هیروگلیف مصری و خط فنیقی.,خط باستان چهار نوع اندیشه نگار داشته است.,e
آغاز فعالیت دو دوره ریاست جمهوری علی‌اکبر هاشمی رفسنجانی ۱۲ مرداد ۱۳۶۸ و پایان فعالیت ۱۲ مرداد ۱۳۷۶ می‌باشد. در نخستین دوره ریاست‌جمهوری هاشمی‌رفسنجانی و با گذشت یک سال پس از پایان جنگ تحمیلی، دولت نخستین برنامه توسعه را با انتخاب استراتژی آزادسازی اقتصادی و بازسازی آغاز کرد.,آزادسازی اقتصادی توسط هاشمی رفسنجانی از روسای جمهور انجام گرفت.,e
امام خمینی در کتاب کشف اسرار، ضمن پرداخت تفصیلی به موضوع «ولایت فقیه» و «حکومت اسلامی»، یک فصل کامل از این کتاب را به مقوله‌های مذکور اختصاص داده و بحث مفصلی درباره حکومت اسلامی‌دارد.,ولایت فقیه و حکومت اسلامی در کتاب کشف الاسرار از آثار حضرت امام خمینی در یک فصل کامل مورد بحث قرار گرفته است.,e
"در دوران حکومت محمد رضا شاه پهلوی، ساواک یا همان سازمان اطلاعات و امنیت کشور، مهم‌ترین نهاد امنیتی و اطلاعاتی بود که با همکاری آمریکا در سال ۱۳۳۵ تأسیس شد. این سازمان از سال ۱۳۳۶ تا ۱۳۴۰ چهره خود را آشکار کرد و ""تیمور بختیار"" که به سبب جنایاتش زبانزد مردم است در رأس این تشکیلات قرار گرفت.",ساواک در دهه ۳۰ شکل گرفت و ریاست آن بر عهده تیمور بختیار بود.,e
سخنرانی‌های روح‌الله خمینی، سبب ایجاد برخی اعتراضات نسبت به رفراندم انقلاب سفید شد. این اعتراضات، منتج به درگیری‌های خیابانی در برخی شهرها به ویژه مشهد و قم شد. در تاریخ ۲ فروردین ۱۳۴۲ نظامیان شاه با حمله به مدرسه فیضیه قم اجتماع مخالفان انقلاب سفید را سرکوب کردند.,حمله به مدرسه فیضیه قم از سوی ماموران شاه بعد از رفراندم انقلاب سفید به وقوع افتاد.,e
کتاب شکست شاهانۀ ماروین زونیس یک تحلیل روان‌شناسی شخصیت است. ماروین زونیس در کتاب «شکست شاهانه» معتقد است که اگر شاه شخصیت روانی و کودکانه نداشت، می‌توانست جلوی انقلاب را بگیرد.,تحلیل ماروین زونیس در کتاب شکست شاهانه به رهیافت روانشناختی اشاره دارد.,e
افزایش تقاضای خدمات، افزایش آستانه رضایتمندی، تحولات ناموزون و غیرمناسب سیاسی، فرهنگی، اجتماعی؛ میراث های منفی و مخرب علمی، اقتصادی، اجتماعی و سیاسی و ... از جمله موانع داخلی کارآمدی هستند. جهان بینی ها و نظام های ارزشی مخالف و مهاجم، فرهنگهای متفاوت، مخالف و مهاجم از موانع خارجی آن می‌باشند.,میراث های منفی و مخرب علمی و سیاسی از موانع داخلی کارآمدی محسوب می‌شود.,e
ترمیدور عبارت‌ است‌ از: نقاهت‌ پس‌ از فرونشستن‌ تب‌ انقلاب‌. در تبیین‌ علل‌ ایجاد حرکت ‌دوری‌ ، می‌توان‌ به‌ تمایل‌ رهبران‌ و مردم‌ در حرکتی‌ از آرمان‌گرایی‌ به‌ واقع‌گرایی‌ ، احساس‌ نرسیدن‌ به‌ اهداف‌ بلندمدت‌ اعلام‌شده‌ ، انحراف‌ از آرمان‌گرایی‌ به‌ واقع‌‌گرایی‌ و روی‌گردانی‌ از اهداف‌ و ارزش‌های ‌انقلاب‌ اشاره‌ نمود.,ترمیدور در انقلاب به معنای حرکتی است دوری بر اثر تمایل به حرکتی از آرمان گرایی به سوی واقع گرایی.,e
اقدامات فداییان اسلام موجب راهیابی آیت الله کاشانی حامی اصلی نواب و یارانش به مجلس شورای ملی بود از این رو می توان آنها را نخستین منادیان برقراری حکومت اسلامی در تاریخ معاصر ایران دانست.,از اولین منادیان حکومت اسلامی فداییان اسلام بودند.,e
ترور شاه در شورای مرکزی حزب توده، به‌طور محرمانه تصمیم گرفته شد که ناموفق ماند.این حادثه فرصت مناسبی برای سرکوبی حزب توده فراهم آورد. در شب ۱۶ بهمن ۱۳۲۷ مراکز و دفاتر حزب توده از سوی مقامات فرمانداری نظامی اشغال شد و حزب توده غیرقانونی شناخته شد و عده‌ای از سران آن دستگیر، زندانی و محاکمه شدند.,پس از حادثه ترور شاه در سال ۱۳۲۷ دفاتر حزب توده توسط دولت اشغال، اعضا دستگیر و حزب منحل شد.,e
"بنیان‌گذار قالب شعری ""مُسَمَّط "" منوچهری دامغانی، شاعر قرن پنجم، است، که همهٔ مسمطات وی مسدس‌اند.","قالب شعری ""مُسَمَّط "" توسط ""منوچهری دامغانی"" ابداع شد.",e
اهلی شیرازی، مثنوی مصنوع و معروفی در ۵۲۰ بیت با سه صنعت مهم: ذوقافیتین - ذوبحرین - انواع جناس، به نام داستان جم و گل سروده‌است. این مثنوی که به سحرحلال معروف است، چندین‌بار در بمبئی، تهران و شیراز به چاپ رسیده‌است.,"مثنوی ""سحرحلال"" اثر ""اهلی شیرازی""، شاعر ایرانی است.",e
مجید شریف واقفی یکی از رهبران سازمان مجاهدین خلق بود که توسط دیگر اعضای سازمان به خاطر تعلقات اسلامی‌اش کشته شد. بعد از انقلاب اسلامی، دانشگاه آریامهر تهران به نام او (دانشگاه صنعتی شریف) تغییر نام داده شد.,مجید شریف واقفی از رهبران سازمان مجاهدین خلق بود که توسط اعضای همین سازمان کشته شد.,e
پهلوی‌ها با برنامه‌ها و سیاست‌های گوناگون سعی در به حاشیه راندن اسلام و احیای تمدن ایران پیش از اسلام داشتند و ایدئولوژی مشروعیت‌بخش به حکومتشان را نه در اسلام، بلکه در ناسیونالیسم جست‌وجو می‌کردند.,ایدئولوژی مشروعیت بخش نظام پهلوی ناسیونالیسم شاهنشاهی بود.,e
کرین برنیتون در کتاب کالبدشکافی چهار انقلاب پس از بررسی و مقایسه تحولات مهم انقلاب های فرانسه، روسیه، امریکا و انگلستان، نظریه ای را تبیین می نماید. بر اساس این نظریه انقلابها در سیر تحولات خود سه مرحله را پشت سر خواهند گذاشت. وی معتقد است این مراحل در هر چهار انقلاب فوق رخ داده است.,اعتقاد به مراحل سه گانه در انقلاب ها توسط کرین برنیتون در کتاب کالبدشکافی چهار انقلاب مطرح شده است.,e
مهم ترین تجارب فرهنگی در دوران دفاع مقدس، مهار فرهنگ سرمایه داری و رفاه طلبی و ترویج فرهنگ زهد و ساده زیستی بود؛ چرا که بستر فرهنگی مبارزه با دشمن بر اساس تعالیم اسلام، زهد و قناعت و ساده‌زیستی است.,مهار فرهنگ سرمایه‌داری و رفاه طلبی از مهمترین تجارب فرهنگی در دوران دفاع مقدس است,e
"کارآمدی ""موفقیت در تحقق اهداف با توجه به امکانات (امکانات در این تعریف، اعم از ظرفیت، استعدادها، ابزار و وسایل و منابع مادی و غیرمادی است) و موانع "" است.",موفقیت در راه تحقق اهداف با توجه به امکانات و موانع را کارآمدی می گویند.,e
واکنش عراق در برابر توان دفاعی ایران و اقدامات سازمان ملل: عراق برای نجات نیروهای درمانده خود در برابر ضربات کوبنده رزمندگان اسلام اغلب مناطق را تخلیه و به مرزهای بین المللی بازگشت نمود نام این عمل را « عقب‌نشینی تاکتیکی » نهاد.,در جنگ ایران و عراق عقب‌نشینی تاکتیکی توسط عراق عنوان شد,e
سپاه پاسداران انقلاب اسلامی که خود مولود بسیج مردمی است، مأموریت آموزش و سازماندهی نیروها را عهده دار شد، و در فاصله زمانی بسیار کوتاه توانست با برنامه ریزی دقیق، حضور کلاسیک این نیروها را در جبهه‌های نبرد نشان دهد.,سپاه پاسداران نتیجه و حاصل نیروهای بسیج مردمی است,e
مهمترین نتایج عملیات بیت‌المقدس: ۱. تغییر نگرش ها و باورهای جهانی نسبت به توانمندی رزمندگان اسلام و اثبات قابلیت های مبتنی بر خلاقیتها و ابتکار نیروهای ایرانی. ۲. محدود شدن فعالیت گروهکهای ضد انقلاب و ستون پنجم در داخل، و ناامید شدن از ادامه فعالیتها و احساس ترس از خشم و غرور دینی و ملی مردم. و ...,محدود شدن فعالیت گروهک‌های ضد انقلاب در داخل کشور از نتایج عملیات بیت‌المقدس است,e
پاکستان در۱۳۵۰ ش. با انتقاد از عدم حمایت سنتو از مواضع اسلام‌آباد در برابر تعرضات هند، از آن جدا شد و ایران نیز متعاقب پیروزى انقلاب اسلامى در ۲۰ اسفند ۱۳۵۷ خروج خود را از این سازمان اعلام کرد. باخروج ایران ازسنتو، این مجموعه که تأمین کننده منافع امریکا در بُعد سیاسى و امنیتى در منطقه بود فرو پاشید.,ایران پس از پیروزی انقلاب از پیمان سنتو خارج شد و منافع منطقه ای آمریکا را مختل کرد.,e
از اقدامات دولت عراق در تجزیه استان خوزستان: انتشار « کتاب سفید» به وسیله وزارت امور خارجه عراق در دی ماه ١٣٣٨. در این کتاب ادعا شده بود: « دولت عثمانی از شهر و بندر محمره که تابع عراق بود، به نفع ایران صرف نظر کرد. »,انتشار کتاب سفید توسط کشور عراق صورت گرفت,e
با قیام مشروطه در ایران، دولت انگلستان برای منافع سرشار خود احساس خطر کرد. فلذا در نظر داشت تا با کمک شیخ خزعل، حاکم خوزستان، این استان ایران را تجزیه کند. در این زمان، حاکم خوزستان، خود را « امیر عربستان » خوانده بود و برای تشکیل « عربستان آزاد » تبلیغ کند.,در دوره‌ی قیام مشروطه در ایران شیخ خزعل خود را « امیر عربستان » خوانده بود و برای تشکیل « عربستان آزاد» پیام‌رسانی می‌کرد,e
صدام حسین قصد داشت به بهانه دفاع از کیان و مرز و بوم کشورهای عربی، جنگ را منطقه ای کند تا با درگیر کردن کلیه کشورهای منطقه با ایران اسلامی، به سه هدف عمده دست یابد.,صدام حسین به دلیل پشتیبانی از ثغر و خاک کشورهای عربی می‌خواست جنگ را منطقه‌ای کند.,e
سازمان پیکار در راه آزادی طبقه کارگر نام یکی از سازمان‌های سیاسی مخالف حکومت پهلوی و جمهوری اسلامی در سال‌های دهه ۱۳۵۰ است. پیکار از سال ۱۳۵۷ تا هنگام فروپاشی اش در اوایل سال ۱۳۶۱، پرچمدار اصلی مائوئیسم و استالینیسم در ایران بود.,سازمان پیکار از سال ۱۳۵۷ تا هنگام فروپاشی اش در اوایل سال ۱۳۶۱، پرچمدار اصلی مائوئیسم و استالینیسم در ایران بود.,e
سوموزا دیکتاتور سرنگون‌شده نیکاراگوئه در انقلاب ۱۹۷۹ این کشور، ضمن تأکید بر نقش کشیشان در این انقلاب، به وجود ارتباط بین انقلابیون نیکاراگوئه و ایران اشاره نموده و بیان کرده است کشیش‌هایی که در انقلاب نیکاراگوئه نقش داشتند، پیش از پیروزی انقلاب به ایران رفت و آمد می­‌کردند و با امام خمینی ملاقات می­‌نمودند.,این جمله که کشیش‌هایی که در انقلاب نیکاراگوئه نقش داشتند، پیش از پیروزی انقلاب به ایران رفت و آمد می ‌کردند و با امام خمینی ملاقات می نمودند. از سوموزا است.,e
"حزب توده به رهبری نورالدین کیانوری سیاست ""حمایت از انقلاب"" را در پیش گرفت.",نورالدین کیانوری رهبری حزب توده را بر عهده داشت.,e
شیرین بیانی (زاده ۱۳۱۷) تاریخ‌نگار، پژوهشگر، استاد دانشگاه و مولف ایرانی است. او علاوه بر تدریس در دانشگاه تهران، به سفرهای پژوهشی در قاره‌های آسیا، اروپا و آمریکا دست زده‌است و کتاب‌های تاریخ‌شناسی تالیف کرده‌است. کتاب سه جلدی «دین و دولت در ایران عهد مغول» او برنده جایزه کتاب سال ایران در سال ۱۳۷۰ شد.,"""شیرین بیانی"" به خاطر نگارش کتاب ""دین و دولت در ایران عهد مغول"" برنده ""جایزه کتاب سال ایران"" شد.",e
مقالات متعددی از ندوشن در مجلات «پیام نو»، «مجله سخن»، «یغما»، «راهنمای کتاب» و «نگین» چاپ شده‌است. محمدعلی اسلامی ندوشن، برخی از آثار خود را با امضای مستعار «م. دیده‌ور» چاپ و منتشر ساخته‌است.,"نام مستعار ""م. دیده‌ور"" مربوط به ""محمدعلی اسلامی ندوشن"" است.",e
"پرویز ناتل خانلری خود باآنکه در جوانی در شاعری گرایش‌هائی مشابه نیما یوشیج داشت، ولی با مطالعهٔ بیشتر به این نتیجه رسید که عروض فارسی ظرفیّت‌های گسترده‌ای دارد و آنچه نیازمند تغییر و تحوّلست، زبان شعرست که باید امروزی شود. مجموعهٔ اشعار او با نام ""ماه در مرداب"" در سال ۱۳۴۳ انتشار یافت و بارها تجدید چاپ شد.","مجموعه شعر ""ماه در مرداب"" را ""پرویز ناتل خانلری"" سروده است.",e
در حال حاضر تمام کشورهای دنیا به جز انگلستان دارای قانون اساسی مدون هستند.,کشور انگلستان دارای قانون اساسی مدون نمی باشد.,e
قانون اساسی مجموعه قواعد و مقررات کلی است که شکل حکومت و سازمان عالی قوای کشور و ارتباط آنها با یکدیگر و حقوق و آزادی‌های افراد را در مقابل دولت مشخص می‌کند.,مشخص کردن شکل حکومت و سازمان عالی قوای کشور از ویژگی های قانون اساسی است.,e
"کتاب ""دستور زبان فارسی"" خانلری برپایهٔ زبان‌شناسی و با توجّه به روح زبان فارسی تدوین شد؛ و می‌توان گفت اوّلین دستور زبان فارسی بر بنیاد زبان‌شناسی در ایران است.","کتاب ""دستور زبان فارسی"" اثر خانلری بر پایه ""زبان‌شناسی"" است.",e
اثر مهمّ و ماندگار دیگر خانلری، «تاریخ زبان فارسی» است که تاکنون تنها کتاب مرجع در این زمینه به‌ حساب می‌آید. بنای کتاب دستور زبان فارسی بر ۵ جلد ریخته شده‌ بود که زبان ایرانیان را از زمان کهن تا دورهٔ معاصر دربرمی‌گرفت.,"تنها کتاب مرجع در زمینه تاریخچه زبان فارسی کتاب ""تاریخ زبان فارسی"" است.",e
استقلال و جدایی قوه مقننه و مجریه، خصلت ویژه نظام ریاستی است. یعنی در این شکل نظام، مجلس نمی توانند حکومت را سرنگون کند. در مقابل قوه مجریه نیز حق انحلال مجلس را ندارد.,در نظام ریاستی، مجلس نمی توانند حکومت را سرنگون کند و در برابر رئیس جمهور نیز حق ندارد مجلس را منحل کند.,e
محمّد معین (۹ اردیبهشت ۱۲۹۷ در محلهٔ زرجوب رشت – ۱۳ تیر ۱۳۵۰ در تهران) یکی از محققان برجسته و پدیدآورندهٔ یکی از مهمترین لغت‌نامه‌های فارسی یعنی فرهنگ معین است که اتفاقا مهم ترین اثر وی نیز به شمار می رود.,"اصلی ترین و معروف ترین اثر ""محمد معین"" ، ""فرهنگ معین"" نام دارد.",e
چرند و پرند مجموعه نوشته‌های طنز اجتماعی و سیاسی علی‌اکبر دهخدا است که در قالب داستان‌کوتاه، اعلامیه، تلگراف، گزارش خبری و… نوشته شده‌است. این نوشته‌ها از ۱۷ ربیع‌الثانی ۱۳۲۵ ه.ق تا ۲۰ جمادی‌الاول ۱۳۲۶ یعنی در فاصله زمانی بین پیروزی انقلاب مشروطیت و شروع استبداد صغیر در ۳۲ شماره هفته‌نامه صوراسرافیل به مدیریت جهانگیرخان شیرازی، و بعدتر در سه شماره صوراسرافیل که پس از شروع استبداد صغیر توسط دهخدا در سوییس چاپ شد، منتشر می‌شد.,نوشته های چرند و پرند دهخدا در هفته‌نامه صوراسرافیل چاپ می شد.,e
طبق قانون اساسی فرانسه یکی از شرایط کاندید های ریاست جمهوری این کشور این است که حداقل ۱۸ سال سن داشته باشند.,یکی از شرایط نامزدی ریاست جمهوری فرانسه، داشتن حداقل ۱۸ سال سن می باشد.,e
رهبر ایران در حکمی رئیس، دبیر و اعضای مجمع تشخیص مصلحت نظام را برای یک دوره پنج‌ساله منصوب می‌کند.,رئیس مجمع تشخیص مصلحت نظام را رهبر تعیین می کند.,e
کتاب امثال و حکم در سال ۱۳۱۰ کتاب قطور چهار جلدی به تألیف علی اکبر دهخدا است که در تهران منتشر شد. این مجموعه دارای نزدیک به ۵۰هزار امثال و حکم (ضرب‌المثل) و کلمات قصار و ابیات متفرقه‌است.,موضوع کتاب امثال و حکم اثر علی اکبر دهخدا، ضرب‌المثل های فارسی است.,e
قوه مجریه آمریکا به صورت ریاستی است و یک رکنی که حق منحل کردن مجلس را ندارد.,قوه مجریه در آمریکا به شکل ریاستی و تک رکنی است.,e
از صبا تا نیما، کتابی است نوشتهٔ یحیی آرین‌پور، با موضوع تاریخ ادبیات فارسی، که تاریخ صد و پنجاه سال ادب فارسی را دربرمی‌گیرد. این کتاب تقریباً سراسر تاریخ ادبیات فارسی در دورهٔ قاجاریه را شامل می‌شود.,"موضوع کتاب ""از صبا تا نیما"" تاریخ ادبیات فارسی است.",e
سید اشرف‌الدین حسینی گیلانی مطالب روزنامه نسیم شمال را به نام‌های مختلف امضا می‌کرد. از جمله هوپ هوپ ، فقیر، خرابعلی میرزا، لات‌ولوت، یتیم‌جوجه، میرزاقشون‌علی، محروم‌الحقوق، آکل‌الوقفیات، و ده‌ها لقب طنزآمیز دیگر.,"امضای ""خرابعلی میرزا"" توسط ""سید اشرف‌الدین حسینی گیلانی"" و در نشریه ""نسیم شمال"" به کار می رفت.",e
لغت‌نامهٔ بزرگ دهخدا کتابی جامع شامل شرح و معنی واژگان زبان فارسی است. این لغت‌نامه، بزرگ‌ترین و مهم‌ترین اثر علی‌اکبر دهخدا است، که بیش از ۴۰ سال از عمر او صرف آن شد.,"مهم ترین کتاب ""علی اکبر دهخدا""، ""لغت‌نامه دهخدا"" نام دارد.",e
نخست وزیر بریتانیا و هیئت دولت جواب‌گوی تمام سیاست‌ها و اقدام‌هایشان به پادشاه یا ملکه می‌باشند.,در انگلستان همه مسئولیت های سیاسی به عهده نخست وزیر و هیئت دولت است.,e
عضویت در فرهنگستان زبان و ادب فارسی مادام‌العمر است، مگر در حالتی که عضوی استعفا کند، به‌علت غیبت زیاد، مستعفی شناخته شود، یا «به‌دلیل سلب صلاحیت اخلاقی» عزل شود.,عضویت در فرهنگستان زبان و ادب فارسی مادام العمر می باشد.,e
آنچه نام بدیع الزمان فروزانفر را بر تارک تحقیقات ادبی و عرفانی نشاند، شیفتگی او به نبوغ ادبی شگرف مولوی جلال‌الدین محمد بلخی، و تلاش ۴۰ سالهٔ او در کار تحقیق پیرامون آثار و اندیشهٔ مولوی بود. او یکی از مولوی‌پژوهان بزرگ معاصر بود و در این زمینه آثار ارزشمند متعددی را به رشته تحریر درآورد.,مهمترین پژوهش های بدیع الزمان فروزانفر در حوزه مولوی پژوهی بود.,e
بنا بر اصل ۱ قانون‏ اساسی‏ ژاپن، امپراتور مظهر کشور و وحدت مردم است.,مظهر وحدت ملی در کشور ژاپن، امپراتور است.,e
نام ابتدایی بدیع‌الزمان فروزانفر در دورهٔ جوانی‌اش محمدحسین بشرویه‌ای بود. بعدها خود را جلیل ضیاء بشرویه‌ای، بعدتر جلیل فروزانفر، و عاقبت بدیع‌الزمان فروزانفر نام نهاد. او لقبِ «بدیع‌الزمان» را در سال ۱۲۹۸ خورشیدی، به‌سبب سرودن قصیده‌ای در وصف بهار، از احمد قوام (قوام‌السلطنه)، والی خراسان، دریافت کرد.,لقبِ «بدیع‌الزمان» متعلق به محمدحسین بشرویه‌ای، از شعرای ایرانی می باشد.,e
در کتاب کمدی الهی برای گناهان ۳ نماد وجود دارد. ماده گرگ =نماد هرزگی، شیر خشمگین = نماد ترش‌رویی و عصبانیت، پلنگ خالدار = نماد حرص و آز.,"در کتاب ""کمدی الهی""، ماده گرگ نماد هرزگی می باشد.",e
کمدی الهی یا خندستان خدایی سه‌گانه‌ایست به شعر که دانته آلیگیری، شاعر و نویسنده ایتالیایی نوشتن آن را در سال ۱۳۰۸ میلادی آغاز کرد و تا زمان مرگش در سال ۱۳۲۱ میلادی کامل کرد. این کتاب از زبان اول شخص است و دانته در این کتاب، سفر خیالی خود را به دوزخ، برزخ و بهشت تعریف می‌کند.دانته در این کتاب از مراحل مختلف دوزخ، برزخ و بهشت می‌گذرد و در این مراحل با شخصیت‌های مختلف تاریخی برخورد می‌کند، تا عاقبت در آخرین مرحله بهشت به دیدار خدا می‌رسد.,"موضوع کتاب ""کمدی الهی"" اثر دانته سفر خیالی نویسنده به دوزخ، برزخ و بهشت می باشد.",e
کمدی الهی یا خندستان خدایی سه‌گانه‌ایست به شعر که دانته آلیگیری، شاعر و نویسنده ایتالیایی نوشتن آن را در سال ۱۳۰۸ میلادی آغاز کرد و تا زمان مرگش در سال ۱۳۲۱ میلادی کامل کرد.,"کتاب ""کمدی الهی"" از آثار ""دانته آلیگیری"" است.",e
